epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3271.17,1.69464,4.20053,1.84593,0.00387,0.08095,0.0133,0.00395,3.36231,5.52931,3.22066,4.80755e-05,4.80755e-05,4.80755e-05
2,6535.82,1.11515,2.67908,1.36695,0.66758,0.16883,0.08984,0.06055,1.24797,2.62675,1.51627,8.7465e-05,8.7465e-05,8.7465e-05
3,9862.3,0.91499,2.21373,1.21033,0.65927,0.29359,0.22373,0.1801,0.87383,2.11785,1.20822,0.000117153,0.000117153,0.000117153
4,13123.4,0.85872,1.90384,1.1674,0.67297,0.30238,0.26463,0.21272,0.79605,1.6951,1.14953,0.000103341,0.000103341,0.000103341
5,16348.3,0.76929,1.69571,1.11372,0.6142,0.36032,0.28207,0.22761,0.73842,1.67152,1.12137,8.8788e-05,8.8788e-05,8.8788e-05
6,19565.4,0.73146,1.54005,1.09257,0.64697,0.32464,0.3022,0.24276,0.71033,1.4192,1.08884,7.4235e-05,7.4235e-05,7.4235e-05
7,22750.7,0.68736,1.36683,1.05388,0.71704,0.32523,0.34494,0.28296,0.67392,1.26969,1.06572,5.9682e-05,5.9682e-05,5.9682e-05
8,25970.1,0.65792,1.21773,1.03139,0.64895,0.36953,0.35917,0.30171,0.64373,1.31405,1.04697,4.5129e-05,4.5129e-05,4.5129e-05
9,29178.7,0.62283,1.13018,1.01479,0.67711,0.37012,0.38145,0.32555,0.62363,1.20954,1.04425,3.0576e-05,3.0576e-05,3.0576e-05
10,32377.5,0.60586,1.06918,1.0104,0.66204,0.38671,0.37794,0.32349,0.61492,1.11211,1.0295,1.6023e-05,1.6023e-05,1.6023e-05
